language,term,schedule,studies,degree,ects,ects_semester,codigo,nombre,official_name,english_name,note_comment,url_guia,source_label,program_label,source_url,source_file,syllabus_links_json,availability_label,timing_risk_label,level_label,permission_label,language_label,schedule_label
English,All-year,Unknown,Undergraduate,3-DCC,6.0,3.0,IIM-DCC-303,Communication Skills (C1/C2),Communication Skills (C1/C2),Communication Skills (C1/C2),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,3-DCC,6.0,3.0,IIM-DCC-304,Communication Skills (C2),Communication Skills (C2),Communication Skills (C2),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,4-DCC,6.0,3.0,IIM-DCC-401,English for Professional Purposes (B2),English for Professional Purposes (B2),English for Professional Purposes (B2),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,4-DCC,6.0,3.0,IIM-DCC-402,English for Professional Purposes (C1),English for Professional Purposes (C1),English for Professional Purposes (C1),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,4-DCC,6.0,3.0,IIM-DCC-403,English for Professional Purposes (C1/C2),English for Professional Purposes (C1/C2),English for Professional Purposes (C1/C2),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,All-year,Unknown,Undergraduate,4-DCC,6.0,3.0,IIM-DCC-404,English for Professional Purposes (C2),English for Professional Purposes (C2),English for Professional Purposes (C2),Waitlisted until level placement,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,english,unknown
English,Fall,Unknown,Undergraduate,1-SAPIENS,3.0,3.0,IIM-SAP-140,Spanish Culture,Spanish Culture,Spanish Culture,,,course_offering_2026_2027_v1_1,sapiens,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,english,unknown
Spanish,All-year,Unknown,Undergraduate,1-GITI,6.0,3.0,TEO-GITI-111,Cristianismo y Ética Social / Christianism and Social Ethics,Cristianismo y Ética Social,Christianism and Social Ethics,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,spanish,unknown
Spanish,Fall,Unknown,Undergraduate,1-GITT,6.0,6.0,TEO-GITT-111,Cristianismo y Ética Social / Christianism and Social Ethics,Cristianismo y Ética Social,Christianism and Social Ethics,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,spanish,unknown
Spanish,All-year,Unknown,Undergraduate,1-IMAT,6.0,3.0,TEO-IMAT-100,Cristianismo y Ética Social / Christianism and Social Ethics,Cristianismo y Ética Social,Christianism and Social Ethics,,,course_offering_2026_2027_v1_1,regular_icai,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term_all_year,medium,undergraduate,standard,spanish,unknown
English,Fall,Unknown,Undergraduate,1-SAPIENS,3.0,3.0,TEO-SAP-123,Christianity and World Religions,Christianity and World Religions,Christianity and World Religions,,,course_offering_2026_2027_v1_1,sapiens,,___Course_Offering_26-27_Student_Version_1.1.xlsx,[],exchange_term,low,undergraduate,standard,english,unknown
